component 0,output,flag,username,timestamp
/Users/vive/Documents/pix2pix/flagged/component 0/tmph159cdq1.png,,,,2023-05-30 12:42:45.000662
,/Users/vive/Documents/pix2pix/flagged/output/tmpzz1xv824.png,,,2023-05-30 13:34:42.550973
